Date:;2021-11-02 15:21:43
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;478
Recorded samples:;478
Sampling period:;9.200
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;48.400000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;2750.000000
;Current actual value;Current demand value
2677.200;-906;-990
2686.400;-1034;-990
2695.600;-973;-990
2704.800;-893;-990
2714.000;-1024;-990
2723.200;-975;-990
2732.400;-871;-990
2741.600;-1007;-990
2750.800;-873;-990
2760.000;-952;-990
2769.200;-883;-990
2778.400;-1015;-990
2787.600;-1023;-990
2796.800;-846;-990
2806.000;-987;-990
2815.200;-922;-990
2824.400;-1057;-990
2833.600;-943;-990
2842.800;-861;-990
2852.000;-1013;-990
2861.200;-958;-990
2870.400;-962;-990
2879.600;-982;-990
2888.800;-1053;-990
2898.000;-1021;-990
2907.200;-984;-990
2916.400;-883;-990
2925.600;-903;-990
2934.800;-955;-990
2944.000;-940;-990
2953.200;-1006;-990
2962.400;-824;-990
2971.600;-1045;-990
2980.800;-1051;-990
2990.000;-937;-990
2999.200;-56;0
3008.400;-3;0
3017.600;-52;0
3026.800;-57;0
3036.000;-38;0
3045.200;-64;0
3054.400;117;0
3063.600;-96;0
3072.800;-37;0
3082.000;-35;0
3091.200;-75;0
3100.400;-56;0
3109.600;34;0
3118.800;33;0
3128.000;-43;0
3137.200;29;0
3146.400;-3;0
3155.600;11;0
3164.800;-54;0
3174.000;-80;0
3183.200;-52;0
3192.400;11;0
3201.600;-68;0
3210.800;-38;0
3220.000;68;0
3229.200;-14;0
3238.400;-20;0
3247.600;20;0
3256.800;-96;0
3266.000;-58;0
3275.200;-38;0
3284.400;56;0
3293.600;21;0
3302.800;-42;0
3312.000;-25;0
3321.200;-104;0
3330.400;-79;0
3339.600;-68;0
3348.800;-43;0
3358.000;-58;0
3367.200;-23;0
3376.400;-28;0
3385.600;-30;0
3394.800;-10;0
3404.000;-95;0
3413.200;-22;0
3422.400;-64;0
3431.600;-52;0
3440.800;-40;0
3450.000;-9;0
3459.200;-5;0
3468.400;-99;0
3477.600;-45;0
3486.800;-29;0
3496.000;-38;0
3505.200;-11;0
3514.400;-26;0
3523.600;-50;0
3532.800;-97;0
3542.000;15;0
3551.200;-70;0
3560.400;-14;0
3569.600;-51;0
3578.800;-27;0
3588.000;-38;0
3597.200;-26;0
3606.400;-9;0
3615.600;-79;0
3624.800;-71;0
3634.000;-70;0
3643.200;-67;0
3652.400;-80;0
3661.600;-42;0
3670.800;-33;0
3680.000;-110;0
3689.200;-90;0
3698.400;95;0
3707.600;-108;0
3716.800;-45;0
3726.000;-28;0
3735.200;-38;0
3744.400;-138;0
3753.600;-26;0
3762.800;-39;0
3772.000;-26;0
3781.200;-12;0
3790.400;10;0
3799.600;-18;0
3808.800;-60;0
3818.000;-4;0
3827.200;-16;0
3836.400;-144;0
3845.600;-22;0
3854.800;4;0
3864.000;48;0
3873.200;2;0
3882.400;18;0
3891.600;33;0
3900.800;50;0
3910.000;-10;0
3919.200;24;0
3928.400;-13;0
3937.600;-44;0
3946.800;-18;0
3956.000;30;0
3965.200;-10;0
3974.400;-13;0
3983.600;22;0
3992.800;41;0
4002.000;18;0
4011.200;30;0
4020.400;-41;0
4029.600;10;0
4038.800;-18;0
4048.000;-21;0
4057.200;4;0
4066.400;-13;0
4075.600;-18;0
4084.800;13;0
4094.000;4;0
4103.200;13;0
4112.400;-29;0
4121.600;2;0
4130.800;24;0
4140.000;22;0
4149.200;16;0
4158.400;-18;0
4167.600;13;0
4176.800;24;0
4186.000;2;0
4195.200;-18;0
4204.400;-7;0
4213.600;10;0
4222.800;-1;0
4232.000;-9;0
4241.200;-10;0
4250.400;22;0
4259.600;-30;0
4268.800;-16;0
4278.000;58;0
4287.200;-41;0
4296.400;-18;0
4305.600;24;0
4314.800;38;0
4324.000;10;0
4333.200;-21;0
4342.400;10;0
4351.600;13;0
4360.800;24;0
4370.000;4;0
4379.200;-9;0
4388.400;22;0
