Date:;2021-11-02 15:21:43
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;478
Recorded samples:;478
Sampling period:;9.200
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;48.400000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;2750.000000
;Current actual value;Current demand value
ms;mA;mA
0.000;39;0
9.200;-19;0
18.400;-14;0
27.600;-7;0
36.800;8;0
46.000;2;0
55.200;3;0
64.400;-40;0
73.600;10;0
82.800;2;0
92.000;16;0
101.200;-43;0
110.400;3;0
119.600;-14;0
128.800;-6;0
138.000;-5;0
147.200;2;0
156.400;8;0
165.600;2;0
174.800;-19;0
184.000;16;0
193.200;-6;0
202.400;-19;0
211.600;-5;0
220.800;3;0
230.000;-3;0
239.200;10;0
248.400;-5;0
257.600;5;0
266.800;-21;0
276.000;-13;0
285.200;19;0
294.400;-34;0
303.600;-22;0
312.800;11;0
322.000;2;0
331.200;31;0
340.400;2;0
349.600;23;0
358.800;-35;0
368.000;-11;0
377.200;-34;0
386.400;16;0
395.600;10;0
404.800;2;0
414.000;24;0
423.200;-13;0
432.400;2;0
441.600;10;0
450.800;23;0
460.000;-11;0
469.200;-11;0
478.400;-6;0
487.600;-35;0
496.800;-43;0
506.000;1;0
515.200;-27;0
524.400;-27;0
533.600;10;0
542.800;16;0
552.000;-13;0
561.200;24;0
570.400;-19;0
579.600;-5;0
588.800;-5;0
598.000;18;0
607.200;-26;0
616.400;-6;0
625.600;-58;0
634.800;-27;0
644.000;2;0
653.200;-11;0
662.400;-19;0
671.600;-6;0
680.800;8;0
690.000;-11;0
699.200;10;0
708.400;-13;0
717.600;24;0
726.800;2;0
736.000;24;0
745.200;10;0
754.400;-19;0
763.600;-5;0
772.800;-19;0
782.000;24;0
791.200;-18;0
800.400;10;0
809.600;19;0
818.800;31;0
828.000;-35;0
837.200;-5;0
846.400;-3;0
855.600;3;0
864.800;-14;0
874.000;39;0
883.200;38;0
892.400;-11;0
901.600;10;0
910.800;26;0
920.000;-6;0
929.200;3;0
938.400;2;0
947.600;8;0
956.800;31;0
966.000;23;0
975.200;34;0
984.400;-3;0
993.600;5;0
1002.800;955;990
1012.000;959;990
1021.200;944;990
1030.400;882;990
1039.600;905;990
1048.800;842;990
1058.000;873;990
1067.200;941;990
1076.400;916;990
1085.600;917;990
1094.800;938;990
1104.000;930;990
1113.200;986;990
1122.400;949;990
1131.600;1003;990
1140.800;965;990
1150.000;985;990
1159.200;983;990
1168.400;964;990
1177.600;895;990
1186.800;918;990
1196.000;946;990
1205.200;942;990
1214.400;936;990
1223.600;951;990
1232.800;954;990
1242.000;943;990
1251.200;996;990
1260.400;897;990
1269.600;937;990
1278.800;998;990
1288.000;943;990
1297.200;853;990
1306.400;887;990
1315.600;1031;990
1324.800;1020;990
1334.000;952;990
1343.200;1065;990
1352.400;957;990
1361.600;1002;990
1370.800;1006;990
1380.000;1011;990
1389.200;972;990
1398.400;905;990
1407.600;887;990
1416.800;976;990
1426.000;1040;990
1435.200;849;990
1444.400;823;990
1453.600;908;990
1462.800;1013;990
1472.000;955;990
1481.200;994;990
1490.400;999;990
1499.600;962;990
1508.800;872;990
1518.000;860;990
1527.200;885;990
1536.400;1005;990
1545.600;913;990
1554.800;969;990
1564.000;826;990
1573.200;875;990
1582.400;876;990
1591.600;1019;990
1600.800;1025;990
1610.000;899;990
1619.200;1021;990
1628.400;923;990
1637.600;1042;990
1646.800;1029;990
1656.000;819;990
1665.200;1052;990
1674.400;998;990
1683.600;872;990
1692.800;885;990
1702.000;1069;990
1711.200;963;990
1720.400;1066;990
1729.600;1048;990
1738.800;1050;990
1748.000;1049;990
1757.200;1028;990
1766.400;1057;990
1775.600;1058;990
1784.800;927;990
1794.000;947;990
1803.200;1100;990
1812.400;712;990
1821.600;995;990
1830.800;881;990
1840.000;973;990
1849.200;1063;990
1858.400;937;990
1867.600;874;990
1876.800;1055;990
1886.000;951;990
1895.200;1058;990
1904.400;940;990
1913.600;930;990
1922.800;764;990
1932.000;945;990
1941.200;1027;990
1950.400;803;990
1959.600;1037;990
1968.800;904;990
1978.000;1055;990
1987.200;919;990
1996.400;238;-990
2005.600;-856;-990
2014.800;-1073;-990
2024.000;-811;-990
2033.200;-752;-990
2042.400;-822;-990
2051.600;-991;-990
2060.800;-863;-990
2070.000;-832;-990
2079.200;-848;-990
2088.400;-783;-990
2097.600;-905;-990
2106.800;-812;-990
2116.000;-966;-990
2125.200;-851;-990
2134.400;-835;-990
2143.600;-793;-990
2152.800;-1037;-990
2162.000;-782;-990
2171.200;-890;-990
2180.400;-771;-990
2189.600;-838;-990
2198.800;-862;-990
2208.000;-952;-990
2217.200;-938;-990
2226.400;-793;-990
2235.600;-1050;-990
2244.800;-843;-990
2254.000;-882;-990
2263.200;-1007;-990
2272.400;-906;-990
2281.600;-940;-990
2290.800;-917;-990
2300.000;-491;-990
2309.200;-968;-990
2318.400;-831;-990
2327.600;-882;-990
2336.800;-799;-990
2346.000;-898;-990
2355.200;-798;-990
2364.400;-964;-990
2373.600;-958;-990
2382.800;-803;-990
2392.000;-861;-990
2401.200;-944;-990
2410.400;-912;-990
2419.600;-973;-990
2428.800;-939;-990
2438.000;-917;-990
2447.200;-846;-990
2456.400;-925;-990
2465.600;-901;-990
2474.800;-939;-990
2484.000;-1022;-990
2493.200;-957;-990
2502.400;-996;-990
2511.600;-960;-990
2520.800;-939;-990
2530.000;-942;-990
2539.200;-930;-990
2548.400;-964;-990
2557.600;-930;-990
2566.800;-929;-990
2576.000;-896;-990
2585.200;-994;-990
2594.400;-1026;-990
2603.600;-1025;-990
2612.800;-958;-990
2622.000;-1000;-990
2631.200;-1008;-990
2640.400;-938;-990
2649.600;-973;-990
2658.800;-1027;-990
2668.000;-934;-990
