Date:;2021-11-02 15:22:03
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;478
Recorded samples:;478
Sampling period:;9.200
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;48.400000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;2750.000000
;Current actual value;Current demand value
ms;mA;mA
0.000;0;0
9.200;15;0
18.400;-26;0
27.600;-40;0
36.800;19;0
46.000;-3;0
55.200;15;0
64.400;-13;0
73.600;1;0
82.800;33;0
92.000;33;0
101.200;-3;0
110.400;-22;0
119.600;24;0
128.800;-22;0
138.000;-8;0
147.200;-8;0
156.400;37;0
165.600;19;0
174.800;1;0
184.000;28;0
193.200;-8;0
202.400;-13;0
211.600;-8;0
220.800;-26;0
230.000;1;0
239.200;-26;0
248.400;-8;0
257.600;-21;0
266.800;37;0
276.000;6;0
285.200;-21;0
294.400;-22;0
303.600;-13;0
312.800;-8;0
322.000;-3;0
331.200;-3;0
340.400;-13;0
349.600;1;0
358.800;24;0
368.000;10;0
377.200;-8;0
386.400;1;0
395.600;-3;0
404.800;-21;0
414.000;6;0
423.200;10;0
432.400;-31;0
441.600;6;0
450.800;28;0
460.000;-22;0
469.200;-35;0
478.400;10;0
487.600;10;0
496.800;1;0
506.000;-21;0
515.200;-3;0
524.400;6;0
533.600;-13;0
542.800;6;0
552.000;19;0
561.200;-13;0
570.400;24;0
579.600;1;0
588.800;10;0
598.000;-13;0
607.200;1;0
616.400;33;0
625.600;-13;0
634.800;-8;0
644.000;1;0
653.200;19;0
662.400;24;0
671.600;15;0
680.800;-21;0
690.000;37;0
699.200;10;0
708.400;-35;0
717.600;1;0
726.800;-22;0
736.000;6;0
745.200;24;0
754.400;10;0
763.600;-13;0
772.800;-17;0
782.000;10;0
791.200;-3;0
800.400;-13;0
809.600;-17;0
818.800;28;0
828.000;-13;0
837.200;28;0
846.400;15;0
855.600;19;0
864.800;24;0
874.000;-17;0
883.200;5;0
892.400;15;0
901.600;-22;0
910.800;-26;0
920.000;10;0
929.200;-8;0
938.400;-4;0
947.600;6;0
956.800;-31;0
966.000;-8;0
975.200;15;0
984.400;-13;0
993.600;-17;0
1002.800;605;990
1012.000;921;990
1021.200;939;990
1030.400;983;990
1039.600;953;990
1048.800;922;990
1058.000;905;990
1067.200;926;990
1076.400;957;990
1085.600;961;990
1094.800;899;990
1104.000;937;990
1113.200;959;990
1122.400;992;990
1131.600;927;990
1140.800;963;990
1150.000;990;990
1159.200;959;990
1168.400;836;990
1177.600;903;990
1186.800;953;990
1196.000;903;990
1205.200;954;990
