Date:;2021-11-02 15:21:23
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;478
Recorded samples:;478
Sampling period:;9.200
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;48.400000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;2750.000000
;Current actual value;Current demand value
ms;mA;mA
0.000;0;0
9.200;-10;0
18.400;20;0
27.600;-10;0
36.800;43;0
46.000;35;0
55.200;-69;0
64.400;-39;0
73.600;-2;0
82.800;-10;0
92.000;-25;0
101.200;-25;0
110.400;5;0
119.600;-25;0
128.800;20;0
138.000;-2;0
147.200;5;0
156.400;-17;0
165.600;-62;0
174.800;73;0
184.000;-17;0
193.200;28;0
202.400;-17;0
211.600;43;0
220.800;5;0
230.000;20;0
239.200;50;0
248.400;-39;0
257.600;103;0
266.800;-32;0
276.000;-69;0
285.200;13;0
294.400;-32;0
303.600;28;0
312.800;58;0
322.000;-17;0
331.200;5;0
340.400;-10;0
349.600;43;0
358.800;50;0
368.000;58;0
377.200;-10;0
386.400;-39;0
395.600;-69;0
404.800;-40;0
414.000;-17;0
423.200;58;0
432.400;28;0
441.600;13;0
450.800;-10;0
460.000;65;0
469.200;-32;0
478.400;20;0
487.600;-10;0
496.800;-24;0
506.000;5;0
515.200;13;0
524.400;-77;0
533.600;-47;0
542.800;13;0
552.000;-10;0
561.200;20;0
570.400;-39;0
579.600;-2;0
588.800;-10;0
598.000;80;0
607.200;-2;0
616.400;28;0
625.600;28;0
634.800;-17;0
644.000;-10;0
653.200;-25;0
662.400;28;0
671.600;-10;0
680.800;-10;0
690.000;-2;0
699.200;20;0
708.400;117;0
717.600;-17;0
726.800;-84;0
736.000;-17;0
745.200;28;0
754.400;-25;0
763.600;-2;0
772.800;-47;0
782.000;-39;0
791.200;73;0
800.400;80;0
809.600;-17;0
818.800;-25;0
828.000;-17;0
837.200;110;0
846.400;5;0
855.600;13;0
864.800;20;0
874.000;50;0
883.200;-17;0
892.400;-47;0
901.600;-10;0
910.800;-32;0
920.000;58;0
929.200;-25;0
938.400;50;0
947.600;-10;0
956.800;43;0
966.000;-55;0
975.200;6;0
984.400;20;0
993.600;-32;0
1002.800;931;990
1012.000;943;990
1021.200;1059;990
1030.400;1009;990
1039.600;983;990
1048.800;999;990
1058.000;999;990
1067.200;953;990
1076.400;1041;990
1085.600;1004;990
1094.800;999;990
1104.000;938;990
1113.200;957;990
1122.400;1030;990
1131.600;1050;990
1140.800;940;990
1150.000;1078;990
1159.200;940;990
1168.400;955;990
1177.600;959;990
1186.800;964;990
