Date:;2021-11-02 15:20:37
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;478
Recorded samples:;478
Sampling period:;9.200
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;48.400000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;2750.000000
;Current actual value;Current demand value
ms;mA;mA
0.000;0;0
9.200;17;0
18.400;11;0
27.600;-10;0
36.800;-34;0
46.000;-10;0
55.200;12;0
64.400;-3;0
73.600;-22;0
82.800;17;0
92.000;-22;0
101.200;-32;0
110.400;-19;0
119.600;-44;0
128.800;2;0
138.000;24;0
147.200;-27;0
156.400;12;0
165.600;19;0
174.800;-3;0
184.000;-36;0
193.200;9;0
202.400;-29;0
211.600;2;0
220.800;19;0
230.000;-22;0
239.200;9;0
248.400;-5;0
257.600;-27;0
266.800;4;0
276.000;11;0
285.200;-19;0
294.400;11;0
303.600;-5;0
312.800;-12;0
322.000;16;0
331.200;-5;0
340.400;-5;0
349.600;-12;0
358.800;17;0
368.000;-34;0
377.200;35;0
386.400;2;0
395.600;26;0
404.800;19;0
414.000;17;0
423.200;-3;0
432.400;-20;0
441.600;-43;0
450.800;-41;0
460.000;26;0
469.200;-12;0
478.400;-20;0
487.600;19;0
496.800;4;0
506.000;-73;0
515.200;-5;0
524.400;-43;0
533.600;-14;0
542.800;19;0
552.000;11;0
561.200;12;0
570.400;-14;0
579.600;26;0
588.800;-36;0
598.000;19;0
607.200;-5;0
616.400;-43;0
625.600;-5;0
634.800;-27;0
644.000;-3;0
653.200;-3;0
662.400;-5;0
671.600;-3;0
680.800;-3;0
690.000;33;0
699.200;-19;0
708.400;-51;0
717.600;-67;0
726.800;-3;0
736.000;-5;0
745.200;4;0
754.400;2;0
763.600;16;0
772.800;41;0
782.000;-5;0
791.200;-10;0
800.400;11;0
809.600;26;0
818.800;-12;0
828.000;6;0
837.200;17;0
846.400;-29;0
855.600;12;0
864.800;-25;0
874.000;-20;0
883.200;-29;0
892.400;33;0
901.600;-19;0
910.800;-36;0
920.000;-20;0
929.200;-5;0
938.400;12;0
947.600;-51;0
956.800;-65;0
966.000;4;0
975.200;4;0
984.400;-43;0
993.600;-5;0
1002.800;997;990
1012.000;990;990
1021.200;1017;990
1030.400;980;990
1039.600;1028;990
1048.800;1004;990
1058.000;1007;990
1067.200;1005;990
1076.400;1016;990
1085.600;1012;990
1094.800;958;990
1104.000;1041;990
1113.200;987;990
1122.400;998;990
1131.600;1000;990
1140.800;1018;990
1150.000;904;990
1159.200;934;990
1168.400;1031;990
1177.600;991;990
