Date:;2021-11-02 10:21:58
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;440
Recorded samples:;440
Sampling period:;2.000
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;0.000000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;0.000000
;Current actual value;Current demand value
ms;mA;mA
656.000;0;0
658.000;-28;0
660.000;-17;0
662.000;-34;0
664.000;5;0
666.000;4;0
668.000;-56;0
670.000;15;0
672.000;4;0
674.000;-6;0
676.000;-79;0
678.000;-72;0
680.000;-35;0
682.000;-1;0
684.000;10;0
686.000;-14;0
688.000;-36;0
690.000;-6;0
692.000;-25;0
694.000;-26;0
696.000;-56;0
698.000;5;0
700.000;-110;0
702.000;-34;0
704.000;17;0
706.000;16;0
708.000;-25;0
710.000;25;0
712.000;-13;0
714.000;5;0
716.000;19;0
718.000;20;0
720.000;-2;0
722.000;-19;0
724.000;-86;0
726.000;-78;0
728.000;-3;0
730.000;-48;0
732.000;-22;0
734.000;-44;0
736.000;-19;0
738.000;-25;0
740.000;-12;0
742.000;-17;0
744.000;-36;0
746.000;-17;0
748.000;-54;0
750.000;-37;0
752.000;-68;0
754.000;25;0
756.000;-4;0
758.000;6;0
760.000;14;0
762.000;39;0
764.000;-20;0
766.000;-18;0
768.000;-32;0
770.000;50;0
772.000;5;0
774.000;-55;0
776.000;-13;0
778.000;5;0
780.000;25;0
782.000;-15;0
784.000;-18;0
786.000;-38;0
788.000;61;0
790.000;21;0
792.000;-40;0
794.000;-138;0
796.000;55;0
798.000;-78;0
800.000;-69;0
802.000;-45;0
804.000;-30;0
806.000;-42;0
808.000;-54;0
810.000;3;0
812.000;3;0
814.000;16;0
816.000;-65;0
818.000;12;0
820.000;70;0
822.000;34;0
824.000;42;0
826.000;-20;0
828.000;10;0
830.000;-35;0
832.000;-27;0
834.000;54;0
836.000;-116;0
838.000;-26;0
840.000;9;0
842.000;24;0
844.000;-49;0
846.000;24;0
848.000;-14;0
850.000;2;0
852.000;2;0
854.000;30;0
856.000;-26;0
858.000;-70;0
860.000;-76;0
862.000;-120;0
864.000;-54;0
866.000;-86;0
868.000;42;0
870.000;-30;0
872.000;-42;0
874.000;9;0
876.000;-7;0
878.000;-71;0
