Date:;2021-11-02 15:19:17
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;478
Recorded samples:;478
Sampling period:;9.200
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;48.400000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;2750.000000
;Current actual value;Current demand value
ms;mA;mA
2806.000;-790;-990
2815.200;-969;-990
2824.400;-934;-990
2833.600;-985;-990
2842.800;-1108;-990
2852.000;-1008;-990
2861.200;-904;-990
2870.400;-1049;-990
2879.600;-934;-990
2888.800;-1095;-990
2898.000;-1052;-990
2907.200;-1013;-990
2916.400;-926;-990
2925.600;-1005;-990
2934.800;-746;-990
2944.000;-1046;-990
2953.200;-1083;-990
2962.400;-811;-990
2971.600;-1005;-990
2980.800;-1053;-990
2990.000;-1015;-990
2999.200;-946;-990
3008.400;-46;0
3017.600;-4;0
3026.800;-31;0
3036.000;-8;0
3045.200;-50;0
3054.400;10;0
3063.600;10;0
3072.800;-147;0
3082.000;-59;0
3091.200;-53;0
3100.400;39;0
3109.600;-19;0
3118.800;-79;0
3128.000;-23;0
3137.200;33;0
3146.400;-52;0
3155.600;-24;0
3164.800;-117;0
3174.000;-10;0
3183.200;-87;0
3192.400;-12;0
3201.600;-92;0
3210.800;50;0
3220.000;-13;0
3229.200;-19;0
3238.400;-17;0
3247.600;108;0
3256.800;-15;0
3266.000;1;0
3275.200;-24;0
3284.400;-39;0
3293.600;-81;0
3302.800;-46;0
3312.000;-43;0
3321.200;-20;0
3330.400;-32;0
3339.600;20;0
3348.800;-46;0
3358.000;-29;0
3367.200;-14;0
3376.400;-80;0
3385.600;-51;0
3394.800;78;0
3404.000;-56;0
3413.200;-29;0
3422.400;-92;0
3431.600;-5;0
3440.800;-97;0
3450.000;-1;0
3459.200;29;0
3468.400;3;0
3477.600;-23;0
3486.800;-32;0
3496.000;-6;0
3505.200;-28;0
3514.400;-39;0
3523.600;-29;0
3532.800;-31;0
3542.000;-35;0
3551.200;58;0
3560.400;14;0
3569.600;35;0
3578.800;-131;0
3588.000;-109;0
3597.200;-86;0
3606.400;-40;0
3615.600;5;0
3624.800;-4;0
3634.000;-69;0
3643.200;-57;0
3652.400;54;0
3661.600;-9;0
3670.800;27;0
3680.000;53;0
3689.200;-48;0
3698.400;-44;0
3707.600;-26;0
3716.800;-33;0
3726.000;-81;0
3735.200;-51;0
3744.400;3;0
3753.600;0;0
3762.800;-35;0
3772.000;-31;0
3781.200;-38;0
3790.400;20;0
3799.600;-69;0
3808.800;-51;0
3818.000;-69;0
3827.200;-42;0
3836.400;15;0
3845.600;25;0
3854.800;-21;0
3864.000;-57;0
3873.200;-94;0
3882.400;33;0
3891.600;-27;0
3900.800;4;0
3910.000;3;0
3919.200;20;0
3928.400;4;0
