Date:;2021-11-02 15:21:00
Firmware Version:;0x0170;0x6552;0x0000;0x0000
EPOS Studio Version:;3.7.1.0
Index:;0x30D1;0x30D0;0x0000;0x0000
Subindex:;0x02;0x00;0x00;0x00
Max. samples:;478
Recorded samples:;478
Sampling period:;9.200
Scale:;0;False;500.000;0.000;-2,000.000;2,000.000
Scale:;1;False;500.000;0.000;-2,000.000;2,000.000
Trigger:;0;48.400000;"Parameter values";"Channel 2";"Rising above value"
TriggerAttributes:;1;4;0x30D0;0x00;2750.000000
;Current actual value;Current demand value
ms;mA;mA
2778.400;-1025;-990
2787.600;-976;-990
2796.800;-1019;-990
2806.000;-1013;-990
2815.200;-946;-990
2824.400;-999;-990
2833.600;-1029;-990
2842.800;-965;-990
2852.000;-1002;-990
2861.200;-1017;-990
2870.400;-970;-990
2879.600;-944;-990
2888.800;-970;-990
2898.000;-1021;-990
2907.200;-991;-990
2916.400;-980;-990
2925.600;-979;-990
2934.800;-980;-990
2944.000;-927;-990
2953.200;-900;-990
2962.400;-856;-990
2971.600;-1017;-990
2980.800;-961;-990
2990.000;-950;-990
2999.200;-935;-990
3008.400;11;0
3017.600;-53;0
3026.800;-19;0
3036.000;-81;0
3045.200;-22;0
3054.400;-18;0
3063.600;28;0
3072.800;11;0
3082.000;-4;0
3091.200;-16;0
3100.400;13;0
3109.600;-11;0
3118.800;-119;0
3128.000;-21;0
3137.200;-23;0
3146.400;-8;0
3155.600;-47;0
3164.800;-78;0
3174.000;-27;0
3183.200;-48;0
3192.400;-40;0
3201.600;-14;0
3210.800;-25;0
3220.000;96;0
3229.200;26;0
3238.400;27;0
3247.600;-26;0
3256.800;-18;0
3266.000;-23;0
3275.200;-53;0
3284.400;46;0
3293.600;-24;0
3302.800;-55;0
3312.000;-72;0
3321.200;78;0
3330.400;39;0
3339.600;-101;0
3348.800;-12;0
3358.000;51;0
3367.200;45;0
3376.400;-18;0
3385.600;14;0
3394.800;23;0
3404.000;5;0
3413.200;46;0
3422.400;-22;0
3431.600;38;0
3440.800;-10;0
3450.000;6;0
3459.200;76;0
